SIK_INVNR;KAT_NR;KUENSTLERIN;TITEL;DATIERUNG;TECHNIK;MASSE;STANDORT;ORT;STANDORT_URL;FILENAME;REPRO_NACHWEIS;JAHR;TECHNIKTHESAURUS;COPYRIGHT;SIKART_URL;FARBEN
94786;78;Eva Aeppli;Ohne Titel, 7-teilig;um 1959;Kohle auf Papier;je 18 x 11 cm;Privatbesitz;;;94786DS1;Foto: SIK-ISEA, Zürich;1959;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12797055;'333333','CCCCCC','666666','666633','663333','999966','996666','999999','CCCC99','CC9999'
94787;91;Eva Aeppli;Sonne;1976;Kohle auf Papier;38,5 x 29 cm;Privatbesitz, seit 1998;;;94787CE1;Foto: Hans Peter Blunier;1976;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12797158;'999999','666666','333333','999966','996666','CC9999','663333','333366','663366','330033'
94788;92;Eva Aeppli;Mond;1976;Kohle auf Papier;38,5 x 29 cm;Garden of the Zodiac Old Market Omaha;Omaha;;94788SF1;Foto: Fotograf/-in (unbekannt, 20. Jh.);1976;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12797195;'CCCCCC','333333','999999','666666','FFFFFF','000000'
94789;118;Eva Aeppli;Le Sourire;1960;Öl auf Leinwand;115 x 240 cm;Moderna Museet, Stockholm, MOM 745, seit 1994;Stockholm;www.modernamuseet.se/;94789SF1;Foto: Christian Baur, Basel;1960;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12857386;'333333','000000','666666','999999','CCCCCC','FFFFFF'
94790;126;Eva Aeppli;5 Heures du Matin;1961;Öl auf Leinwand;194 x 114 cm;Moderna Museet, Stockholm, MOM 741, seit 1994;Stockholm;www.modernamuseet.se/;94790SF1;Foto: Christian Baur, Basel;1961;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12857439;'333333','000000','666666','CCCCCC','999999','FFFFFF'
94791;150;Eva Aeppli;Novembre;1965;Öl auf Leinwand;200 x 300 cm;Moderna Museet, Stockholm, MOM 740, seit 1994;Stockholm;www.modernamuseet.se/;94791SF1;Foto: Christian Baur, Basel;1965;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12857674;'000000','333333','666666','CCCCCC','999999','FFFFFF'
94792;137;Eva Aeppli;Aurevoir;1962;Öl auf Leinwand;130 x 195 cm;Privatbesitz (F), 19.6.2003;;;94792CE1;Foto: Christian Baur, Basel;1962;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12857715;'333333','CCCCCC','CC9999','993300','663333','993333','FFFFCC','CCCC99','990000','660000'
94793;127;Eva Aeppli;Les Soldes;1961;Öl auf Leinwand;170 x 115 cm;Privatbesitz;;;94793SF1;Foto: Christian Baur, Basel;1961;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12863112;'FFFFFF','000000','333333','CCCCCC','999999','666666'
94794;129;Eva Aeppli;Fermeture eclair;1961;Öl auf Leinwand;216 x 70 cm;Standort unbekannt;;;94794SF1;Foto: Christian Baur, Basel;1961;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12863119;'333333','000000','CCCCCC','FFFFFF','999999','666666'
94795;128;Eva Aeppli;B. Klüver;1961;Öl auf Leinwand;115 x 240 cm;Standort unbekannt;;;94795CE1;Foto: Christian Baur, Basel;1961;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12863147;'333333','663333','666666','999999','333366','CCCCCC','993333','000033','336666','003333'
94796;130;Eva Aeppli;Les Femmes des Chanteurs;1961;Öl auf Leinwand;130 x 162 cm;Werk zerstört;;;94796SC1;Foto: Heidi Meister, Paris;1961;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12863168;'333333','666666','000000','999999','CCCCCC','FFFFFF'
94797;131;Eva Aeppli;De l'Eau s'il vous plaît;1961;Öl auf Leinwand;70 x 210 cm;Standort unbekannt;;;94797D1;Foto: SIK-ISEA, Zürich;1961;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12863193;'FFFFFF','000000','666666','333333','CCCCCC','999999'
94798;133;Eva Aeppli;Les Ondes;1962;Öl auf Leinwand;120 x 240 cm;Standort unbekannt;;;94798SC1;Foto: Heidi Meister, Paris;1962;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12863206;'333333','666666','999999','000000','CCCCCC','FFFFFF'
94799;134;Eva Aeppli;Le Printemps;1962;Öl auf Leinwand;130 x 195 cm;Privatbesitz (F), seit 1988;;;94799D1;Foto: Georges Routhier, Paris;1962;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12863220;'999999','666666','CCCCCC','333333','FFFFFF','666699','669999','9999CC','000000','333366'
94800;135;Eva Aeppli;Minuit;1962;Öl auf Leinwand;110 x 220 cm;Privatbesitz (F);;;94800D1;Foto: Museum Jean Tinguely (Christian Baur);1962;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12863225;'999999','666666','333333','000000','CCCCCC','666699','333366','669999','336666','9999CC'
94801;60;Eva Aeppli;Lis VII;11.1958;Kohle auf Papier;68 x 56 cm;Standort unbekannt;;;94801SC1;Foto: Hansjörg Stoecklin, Arisdorf;1958;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12854697;'333333','666666','000000','FFFFFF','CCCCCC','999999'
94802;67;Eva Aeppli;Bleuets I;1959;Kohle auf Papier;80 x 65 cm;Standort unbekannt;;;94802SC1;Foto: Hansjörg Stoecklin, Arisdorf;1959;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12854685;'333333','000000','666666','FFFFFF','999999','CCCCCC'
94803;66;Eva Aeppli;Selbstportrait III;1959;Kohle auf Papier;53,5 x 68,5 cm;Garden of the Zodiac Old Market Omaha, seit 1999;Omaha;;94803D1;Foto: Antonio Ruffaldi Santori;1959;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12854679;'333333','666666','666633','000000','999966','CCCC99','999999','663333','CCCCCC','FFFFCC'
94804;198;Eva Aeppli;Kaya;1972;Seide, Kapok, Watte, Wolle, Seidenblume, Samt, Metallstab;200 cm hoch (stehend);Moderna Museet, Stockholm, MOM/2005/125, seit 2005;Stockholm;www.modernamuseet.se/;94804CE1;Foto: Jacques Faujour, Saint-Maur-des-Fossés;1972;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12850557;'999999','660033','99CC99','CCCCCC','990033','990000','333333','CCCC99','663333','999966'
94805;211;Eva Aeppli;Niki;1972;Seide, Kapok, Watte, Metallstab;180 cm hoch (stehend);Privatbesitz (F), seit 2005;;;94805CE1;Foto: Jacques Faujour, Saint-Maur-des-Fossés;1972;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12850511;'003333','999999','CCCCCC','666666','333333','003300','999966','CCCC99','99CC99','666633'
94806;155;Eva Aeppli;Selbstportrait;1953;Seide, Kapok, Watte, Wolle, Wolle und Seidengarn gestickt, Seidenblumen, Metallstab;60 cm hoch;Privatbesitz (F), seit 2005;;;94806CE1;Foto: Jacques Faujour, Saint-Maur-des-Fossés;1953;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12854153;'CCCCCC','333333','666633','99CCCC','999999','CCFFCC','999966','663333','99CC99','CCFFFF'
94807;153;Eva Aeppli;Textile Figur;1953;Seide, Kapok, Watte, Wolle, Wolle gestickt, Metallstab;55 cm hoch;Privatbesitz (F), seit 2005;;;94807CE1;Foto: Jacques Faujour, Saint-Maur-des-Fossés;1953;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12850442;'CCCCCC','FFFFFF','333333','666633','CCFFCC','CCFFFF','CCCC99','999966','666666','663333'
94808;154;Eva Aeppli;Le Bandit;1953;Baumwolle, Kapok, Watte, Wolle, Wolle gestickt, Samt, Pelz, Metallstab;55 cm hoch;Privatbesitz (F), seit 2005;;;94808CE1;Foto: Jacques Faujour, Saint-Maur-des-Fossés;1953;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12850410;'CCCCCC','333333','CCFFCC','663333','666633','99CC99','FFFFFF','FFFFCC','999966','333300'
94809;268;Eva Aeppli;Vive la Mort;1974/1998;Zeitung, grosses Kunststoff-Skelett, Maus, Glasflasche, Deckel, kleines Kunststoff-Skelett in Trinkglas, abgebrochener Massstab, zwei Konservengläser, Pinsel, Kunststoff-Schädel in Keramikschale, zwei Silberlöffel und zwei Silbergabeln mit je einem Totenköpfchen aus Silber, teilweise vergoldet, nach einem Entwurf von Eva Aeppli, (ausgeführt von Kurt Neukom), Seidenrosen, Rosenblätter;85 x 65 x 27 cm;Privatbesitz, seit 1998;;;94809D1;Foto: Hans Peter Blunier;1974;Assemblage;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12801384;'CCCCCC','FFFFFF','999999','CCCC99','CC9999','996666','333333','999966','666666','FFFFCC'
94810;156;Eva Aeppli;Textile Figur;1954;Seide, Kapok, Watte, Wolle, Seidengarn gestickt, Holzkranz, Metallstab;60 cm hoch;Standort unbekannt;;;94810SC1;Foto: Hansjörg Stoecklin, Arisdorf;1954;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12801379;'333333','666666','000000','FFFFFF','CCCCCC','999999'
94811;157;Eva Aeppli;Textile Figur;1954;Seide, Kapok, Watte, Seidengarn gestickt, Wolle, Blumenkranz, Metallstab;60 cm hoch;Standort unbekannt;;;94811SC1;Foto: Hansjörg Stoecklin, Arisdorf;1954;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12801373;'333333','666666','CCCCCC','000000','FFFFFF','999999'
94812;102;Eva Aeppli;Luna; 8. 1977;Pastell auf Papier;41,5 x 32 cm;Garden of the Zodiac Old Market Omaha, seit 1999;Omaha;;94812D1;Foto: Antonio Ruffaldi Santori;1977;Pastell;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12801372;'999999','CCCCCC','FFFFFF','669999','666666','9999CC','99CCCC','CCCCFF','666699','CCFFFF'
94813;101;Eva Aeppli;Ohne Titel;1976;Pastell auf Papier;36 x 31 cm;Privatbesitz, seit 1998;;;94813CE1;Foto: Hans Peter Blunier;1976;Pastell;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12801369;'999999','666666','9999CC','996699','666699','CCCCCC','996666','999966','CC99CC','669999'
95710;254;Eva Aeppli;Hexerich;1990-91;Seide, Kapok, Watte, Metallstab, Steinguss-Amphore, Eisenkette, Eisen, Metalle, Holzrad, Elektromotor;138 cm hoch;Privatbesitz;;;95710CE1;Foto: Museum Jean Tinguely (Christian Baur);1990;Installation;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12864228;'333333','666666','663333','666633','996666','999966','999999','CCCCCC','FFFFFF','336633'
95711;258;Eva Aeppli;Komm mit mir in den siebten Himmel der Liebe;1990-91;Maske koloriert, Schleier, Metallkonstruktion, Holzrad, Elektromotor;150 x 300 x 100 cm;Privatbesitz, ab 2012;;;95711CE1;Foto: Museum Jean Tinguely (Christian Baur);1990;Installation;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12864249;'003300','333333','333300','666666','999999','000000','CCCCCC','663333','666633','999966'
95712;260;Eva Aeppli;Erdhexen;1990-91;Seide, Kapok, Watte, Samt, Chorhemden, Metallstäbe, Metallkonstruktion, Holzrad, Sofa, Elektromotor, Paletten;230 x 420 x 190 cm;Fond national d'art contemporain, ministère de la culture, Paris, 92045, seit 1992;Paris;;95712CE1;Foto: Museum Jean Tinguely (Christian Baur);1990;Installation;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12864258;'330000','333333','666633','666666','663333','999999','CCCCCC','FFFFFF','663300','333300'
95715;252;Eva Aeppli;Mit dem Kopf an die Wand;1990-91;Maske aus Papiermaché, weiss und schwarz bemalt, Samt, Haare aus Polyester-Acetat, Podest auf Rädern, Eisen, Draht, Holzrad, Kette, Elektromotor;200 x 100 x 180 cm;Privatbesitz;;;95715CE1;Foto: Museum Jean Tinguely (Christian Baur);1990;Installation;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12864315;'333333','666666','000000','999999','663333','330000','333300','663366','666633','996666'
95716;243;Eva Aeppli;Dame oder Bella;1967;Seide, Kapok, Watte, Wolle, Samt, Wolle gestickt, Metallstab. Rollstuhl: Holz, Kinderwagenräder, Metall;140 x 50 x 90 cm;Ludwig Museum im Deutschherrenhaus, Koblenz;Aachen;;95716D1;Foto: Ludwig Museum im Deutschherrenhaus;1967;Installation;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12864835;'999999','996633','663333','666633','999966','996666','333333','CC9999','333300','CCCCCC'
95717;244;Eva Aeppli;La Croix;1968;Seide, Kapok, Watte, Wolle gestickt, Cashmere Pullover, Metallstab, Polyester mit Blech eingefasst, Ziffer;150 x 84 cm;Moderna Museet, Stockholm, MOMSK 199, seit 1993;Stockholm;www.modernamuseet.se/;95717D1;Foto: Moderna Museet, Stockholm;1968;Installation;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12866051;'999999','666666','999966','CCCCCC','000000','FFFFCC','FFFFFF','996666','CCCC99','333333'
95718;245;Eva Aeppli;15 textile Figuren aus der <I>Groupe de 30<I>;1970;Seide, Kapok, Watte, Samt, Eisenstäbe, Eisenbahnwagen;je ca. 185 cm hoch (stehend);Centre national des arts plastiques, Paris, FNAC 95-419(1), seit 1994;Paris;;95718D1;© Eva Aeppli/CNAP/photo : Tadashi Ono, Paris;1970;Installation;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12866059;'000000','330000','333333','663333','333300','666666','663300','996633','CC6633','330033'
95719;246;Eva Aeppli;Ohne Titel;1974;Seide, Kapok, Watte, Metallstab, Hackbrett;39,5 cm hoch;Standort unbekannt;;;95719D1;;1974;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12866066;'FFFFFF','000000','CCCCCC','333333','999999','666666'
95720;248;Eva Aeppli;L'Ogre;11.-12. 1981 Seidenskulptur/1986 Objekt;Seide, Kapok, Watte, Metallstab, ethno-synkretistisches Objekt;70 x 60 x 30 cm;Privatbesitz (F);;;95720D1;Fotograf/in nicht bekannt;1981;Objektkunst;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12866072;'FFFFFF','333333','CCCCCC','FFFFCC','666666','FFCCCC','000000','CC9966','003333','996666'
95721;249;Eva Aeppli;Pour Niki;1988;Seide, Kapok, Watte, Metallstab, Metallkonstruktion;104 x 45 cm (Objekt);Moderna Museet, Stockholm, MOMSK 208, seit 1993;Stockholm;www.modernamuseet.se/;95721D1;Foto: Moderna Museet, Stockholm;1988;Objektkunst;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12866633;'FFFFFF','CCCCCC','333333','663333','FFFFCC','999966','FFCCCC','CCCC99','666633','666666'
95722;247;Eva Aeppli;Ohne Titel;1977 Seidenskulptur/1989 Metallkonstruktion;Seide, Kapok, Watte, Metallstab, Metallkonstruktion;65 cm hoch;Standort unbekannt;;;95722D1;Foto: Fotograf/-in (unbekannt);1977;Objektkunst;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12866651;'999966','999999','333333','666633','666666','669966','996666','996633','663333','CC9966'
95723;250;Eva Aeppli;Fatima;1990-91;Seide, Kapok, Watte, Chorhemd, Samt, Haare aus Polyester-Acetat,  Metallstab, Metallkonstruktion;188 x 42 x 57 cm;Galerie Michael Haas, Berlin, seit 4.2.2012;Berlin;;95723D1;Foto: Michel Fischer;1990;Installation;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12866679;'999999','CCCCCC','666633','663333','99CCCC','000000','666666','999966','996633','99CC99'
95724;253;Eva Aeppli;Erste Hexe;1990-91;Seide, Kapok, Watte, Chorhemd, Metallstab, Metallkonstruktion, Räder;154 x 103 x 86 cm, textile Figur 140 cm hoch;Galerie Michael Haas, Berlin, seit 7.12.2011;Berlin;;95724CE1;Foto: Leonardo Bezzola, Bätterkinden;1990;Installation;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12866713;'000000','333300','999999','666633','999966','663300','CCCCCC','663333','330000','666666'
95725;255;Eva Aeppli;In der Nacht ist der Mensch nicht gern alleine;1990-91;Textile Maske, Samt, Haare aus Polyester-Acetat, grünes Metallfass, Metallkonstruktion, Elektromotor;180 cm hoch;Musée d'art et d'histoire, Fribourg, MAHF 2005-109, seit 2001;Fribourg;www.fr.ch/mahf/fr/pub/index.htm;95725D1;Foto: Museum Jean Tinguely (Christian Baur);1990;Installation;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12866805;'333333','666666','999999','CCCCCC','FFFFFF','003333','669966','999966','336633','666633'
95726;256;Eva Aeppli;Erika;1990-91;Maske aus Papiermaché, Samt, Federboa, dreieckiges Spitzentuch, Metallkonstruktion, Tierschädel, Holzrad, Elektromotor;196 x 150 x 115 cm;Privatbesitz;;;95726D1;Foto: Museum Jean Tinguely (Christian Baur);1990;Installation;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12867905;'CCCCCC','333333','999999','996666','000000','999966','996633','FFFFFF','666666','CCCC99'
95728;259;Eva Aeppli;Komm mit mir auf die Schaukel Luise;1990-91;Seide, Kapok, Watte, Samt, farbige Boas, Metallkonstruktion, Elektromotoren;190 x 140 x 100 cm;Museum Jean Tinguely, Basel, 011385, seit 1991;Basel;www.tinguely.ch;95728D1;Foto: Museum Jean Tinguely (Christian Baur);1990;Installation;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12867910;'CCCCCC','999999','996666','999966','666666','CCCCFF','333333','9999CC','663333','CC9999'
95729;261;Eva Aeppli;Hommage an Käthe Kollwitz;1990-91;Seide, Kapok, Watte, Samt, Metallstab, Metallkonstruktion, Holz, Elektromotor;250 x 200 x 230 cm;Kunstmuseum Solothurn;Winterthur;www.kunstmuseum-so.ch;95729D1;Foto: Kunstmuseum Solothurn;1990;Installation;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12867915;'999999','333333','666666','CCCCCC','CC9999','CCCC99','FFFFFF','996666','663333','666633'
95730;262;Eva Aeppli;Othello und Desdemona;1990-91;Seide, Kapok, Watte, Samt, Chorhemd, Schleier, Seidenblumen, Metallstab, Metallkonstruktion, Holzrad, Elektromotor;236 x 367 x 116 cm;'Fondazione ''Il Giardino di Daniel Spoerri - Hic Terminus Haeret'', Seggiano (Grosseto), seit 1997';Seggiano (Grosseto);www.danielspoerri.org/italienisch/home.htm;95730SC1;Foto: Museum Jean Tinguely (Christian Baur);1990;Installation;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12867921;'666666','333333','999999','666633','996666','999966','663333','CCCCCC','996633','CC9999'
95731;263;Eva Aeppli;Lufthexen;1990-91;Seide, Kapok, Watte, Metallstäbe, Metallkonstruktion, Holzrad, Elektromotor;220 x 350 x 150 cm;Moderna Museet, Stockholm, MOM/2005/60, seit 2005;Stockholm;www.modernamuseet.se/;95731D1;Foto: Museum Jean Tinguely (Christian Baur);1990;Installation;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12867928;'999999','666666','333333','996633','999966','996666','CCCCCC','CC9966','663333','666633'
95732;266;Eva Aeppli;Ohne Titel;1991;Seide, Watte, Metallkonstruktion;61 x 45 x 41 cm;Standort unbekannt;;;95732SC1;Foto: SIK-ISEA, Zürich;1991;Objektkunst;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12867933;'FFFFFF','CCCCCC','666666','999999','333333'
95733;265;Eva Aeppli;La Main;1990-91;Seide, Watte, Metallkonstruktion;61 cm hoch;Standort unbekannt;;;95733SC1;Foto: Fotograf/-in (unbekannt, 20. Jh.);1990;Objektkunst;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12867939;'CCCCCC','FFFFFF','333333','999999','000000','666666'
95734;267;Eva Aeppli;Vive la Vie;1991;Seide, Watte, Eisenkeil, Holzgriff;41,5 cm hoch;Kunstsammlung Beat H. Koenig;Iffwil;;95734D1;Foto: Thomas Gerber, Burgdorf;1991;Objektkunst;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12867943;'999999','666699','666666','CCCCCC','CC9999','669999','CCCC99','333333','663333','996699'
95735;117;Eva Aeppli;Nuages I;1960;Öl auf Leinwand, doubliert;70 x 170 cm;Moderna Museet, Stockholm, MOM 739, seit 1994;Stockholm;www.modernamuseet.se/;95735D1;Foto: Moderna Museet, Stockholm;1960;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12869244;'CCCCCC','999999','000000','333333','666666','333366','336666','666699','669999','003333'
95736;132;Eva Aeppli;La Forêt;1961;Öl auf Leinwand;110 x 130 cm;Werk zerstört;;;95736D1;Foto: SIK-ISEA, Zürich;1961;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12869284;'FFFFFF','000000','666666','333333','CCCCCC','999999'
95737;119;Eva Aeppli;Le Bois;1961;Öl auf Leinwand;130 x 195 cm;Standort unbekannt;;;95737SC1;Foto: Heidi Meister, Paris;1961;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12869299;'333333','666666','000000','999999','CCCCCC'
95738;120;Eva Aeppli;Le Pensionnat;1961;Öl auf Leinwand;130 x 232 cm;Galerie Michael Haas, Berlin, seit 29.11.2012;;;95738SC1;Foto: Heidi Meister, Paris;1961;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12869316;'666666','333333','999999','000000','CCCCCC','FFFFFF'
95739;121;Eva Aeppli;La Matière grise;1961;Öl auf Leinwand;60 x 210 cm;Standort unbekannt;;;95739DS1;Foto: SIK-ISEA, Zürich;1961;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12869329;'333333','666666','CCCCCC','999999','FFFFFF','666633','663333','CCCCFF','999966','996666'
95740;122;Eva Aeppli;Le Week-End;1961;Öl auf Leinwand;130 x 195 cm;Kunstmuseum Solothurn, A 90.10, seit 1990;Solothurn;www.kunstmuseum-so.ch;95740D1;Foto: Kunstmuseum Solothurn;1961;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12869337;'000000','333333','CC3333','993333','003333','FFFFFF','000033','663333','FF3333','FFFFCC'
95741;123;Eva Aeppli;Champ de Tulipes;1961;Öl auf Leinwand;130 x 195 cm;Privatbesitz;;;95741SC1;Foto: Heidi Meister, Paris;1961;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12869380;'333333','666666','999999','000000','CCCCCC','FFFFFF'
95742;125;Eva Aeppli;Lychée;1961;Öl auf Leinwand;131 x 162 cm;Garden of the Zodiac Old Market Omaha, seit 1999;Omaha;;95742D1;Foto: Antonio Ruffaldi Santori;1961;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12869421;'CCCCCC','CCCC99','999999','CC9999','FFFFCC','996666','999966','663333','993333','666666'
95743;138;Eva Aeppli;Fôret III;1963;Öl auf Leinwand;Masse unbekannt;Werk zerstört;;;95743SC1;Foto: Heidi Meister, Paris;1963;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12869426;'333333','666666','000000','999999','CCCCCC'
95744;139;Eva Aeppli;Mautz;1963;Öl auf Leinwand;110 x 225 cm;Moderna Museet, Stockholm, MOM 743, seit 1994;Stockholm;www.modernamuseet.se/;95744D1;Foto: Moderna Museet, Stockholm;1963;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12869433;'CCCCCC','999999','333333','666666','FFFFFF','000000','669999','99CCCC','336666','FFFFCC'
95745;140;Eva Aeppli;Pas encore;1963;Öl auf Leinwand;110 x 220 cm;Werk zerstört;;;95745SC1;Foto: Heidi Meister, Paris;1963;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12871578;'333333','000000','666666','999999','CCCCCC'
95746;141;Eva Aeppli;Les Cherubins;1963;Öl auf Leinwand, doubliert;113 x 145 cm;Moderna Museet, Stockholm, MOM 602, seit 1993;Stockholm;www.modernamuseet.se/;95746D1;Foto: Moderna Museet, Stockholm;1963;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12871585;'CCCCCC','996666','CC9999','999999','663333','666666','FFCCCC','333333','FFFFCC','CCCC99'
95747;142;Eva Aeppli;Marijuana;1963;Öl auf Leinwand;110 x 225 cm;Kunstmuseum Solothurn, A 97.22, seit 1997;Solothurn;www.kunstmuseum-so.ch;95747D1;Foto: Kunstmuseum Solothurn;1963;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12871593;'CCCCCC','000000','FFFFFF','999999','333333','FFCCCC','666666','CC9999','CC99CC','FFFFCC'
95748;143;Eva Aeppli;Tango;1963;Öl auf Leinwand;125 x 210 cm;Moderna Museet, Stockholm, MOM 601, seit 1993;Stockholm;www.modernamuseet.se/;95748D1;Foto: Moderna Museet, Stockholm;1963;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12871604;'333333','CCCCCC','000000','999999','666666','FFFFFF','FFFFCC','000033','FFCCCC','003333'
95749;144;Eva Aeppli;Accumulation;1963;Öl auf Leinwand;110 x 225 cm;Standort unbekannt;;;95749D1;Foto: SIK-ISEA, Zürich;1963;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12871614;'FFFFFF','000000','666666','333333','CCCCCC','999999'
95750.02/02;147.02;Eva Aeppli;Hommage à Niki de Saint Phalle, Ausschnitte;1964;Öl auf Leinwand;je 78 x 29 cm;Privatbesitz (F);;;95750D1;Foto: Christian Baur, Basel;1964;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12874714;'CCCCCC','FFFFFF','CC0033','FFFFCC','999999','333333','FFCCCC','CCCC99','9999CC','666666'
95751;146;Eva Aeppli;Paradis des Enfants;1964;Öl auf Leinwand;115 x 210 cm;Privatbesitz (F);;;95751SC1;Foto: Heidi Meister, Paris;1964;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12871636;'CCCCCC','333333','999999','666666','000000','FFFFFF'
95752;145;Eva Aeppli;Bientôt tu viendras mon amour;1964;Öl auf Leinwand;120 x 230 cm;Werk zerstört;;;95752SC1;Foto: Heidi Meister, Paris;1964;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12871641;'CCCCCC','999999','000000','333333','FFFFFF','666666'
95753;149;Eva Aeppli;Ohne Titel;1964;Öl auf Holz;122 x 244 cm;Privatbesitz (USA);;;95753D1;Foto: James Franksen, Omaha;1964;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12873839;'CCCCCC','333333','000000','999999','CCCC99','666633','333300','666666','999966','663333'
95754;151;Eva Aeppli;Carmen;1965;Öl auf Leinwand;Masse unbekannt;Werk zerstört;;;95754SC1;Foto: Heidi Meister, Paris;1965;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12874003;'CCCCCC','333333','666666','999999','000000','FFFFFF'
